accuracy,loss,val_accuracy,val_loss,learning_rate
0.1631428599357605,2.507375955581665,0.2866666615009308,1.9762638807296753,9.999999747378752e-05
0.26600000262260437,2.0699002742767334,0.46799999475479126,1.6315944194793701,9.999999747378752e-05
0.38514286279678345,1.7714087963104248,0.6213333606719971,1.362671971321106,9.999999747378752e-05
0.48914286494255066,1.5143709182739258,0.7200000286102295,1.1611696481704712,9.999999747378752e-05
0.5471428632736206,1.3507696390151978,0.7746666669845581,1.0046087503433228,9.999999747378752e-05
0.6017143130302429,1.1942836046218872,0.8040000200271606,0.8838843703269958,9.999999747378752e-05
0.6628571152687073,1.07320237159729,0.8320000171661377,0.7865369319915771,9.999999747378752e-05
0.7057142853736877,0.9787605404853821,0.8506666421890259,0.7102254033088684,9.999999747378752e-05
0.7174285650253296,0.9191693663597107,0.8679999709129333,0.6455573439598083,9.999999747378752e-05
0.7574285864830017,0.8433399796485901,0.874666690826416,0.5950247049331665,9.999999747378752e-05
0.7717142701148987,0.7618100643157959,0.8840000033378601,0.5526021718978882,9.999999747378752e-05
0.7814285755157471,0.7356196045875549,0.8866666555404663,0.515759289264679,9.999999747378752e-05
0.7960000038146973,0.6985173225402832,0.890666663646698,0.48587390780448914,9.999999747378752e-05
0.8151428699493408,0.652312695980072,0.9026666879653931,0.45760682225227356,9.999999747378752e-05
0.8117142915725708,0.6327618360519409,0.9053333401679993,0.43527400493621826,9.999999747378752e-05
0.8257142901420593,0.5914986729621887,0.909333348274231,0.41597315669059753,9.999999747378752e-05
0.8371428847312927,0.5556802749633789,0.9160000085830688,0.39609310030937195,9.999999747378752e-05
0.8385714292526245,0.5461424589157104,0.9160000085830688,0.3810136020183563,9.999999747378752e-05
0.8337143063545227,0.537418782711029,0.918666660785675,0.36710304021835327,9.999999747378752e-05
0.8462857007980347,0.5083665251731873,0.9226666688919067,0.3539181053638458,9.999999747378752e-05
0.8468571305274963,0.5014138221740723,0.9226666688919067,0.34160059690475464,9.999999747378752e-05
0.8677142858505249,0.4601714015007019,0.9240000247955322,0.3311699330806732,9.999999747378752e-05
0.8622857332229614,0.4591647684574127,0.9266666769981384,0.31977832317352295,9.999999747378752e-05
0.8782857060432434,0.44056904315948486,0.9279999732971191,0.3100622892379761,9.999999747378752e-05
0.8700000047683716,0.44319161772727966,0.9293333292007446,0.30305972695350647,9.999999747378752e-05
0.87628573179245,0.42071661353111267,0.9346666932106018,0.2964780032634735,9.999999747378752e-05
0.87628573179245,0.422855943441391,0.9319999814033508,0.28801149129867554,9.999999747378752e-05
0.8759999871253967,0.4110230803489685,0.9359999895095825,0.28196462988853455,9.999999747378752e-05
0.8799999952316284,0.3973446190357208,0.937333345413208,0.2752307653427124,9.999999747378752e-05
0.8845714330673218,0.38052240014076233,0.9359999895095825,0.27048060297966003,9.999999747378752e-05
0.8917142748832703,0.375680148601532,0.937333345413208,0.2630923390388489,9.999999747378752e-05
0.8880000114440918,0.3761237561702728,0.9399999976158142,0.25815773010253906,9.999999747378752e-05
0.8862857222557068,0.3796192407608032,0.9386666417121887,0.25442028045654297,9.999999747378752e-05
0.8960000276565552,0.34985482692718506,0.9413333535194397,0.2500823736190796,9.999999747378752e-05
0.8948571681976318,0.3505781888961792,0.9453333616256714,0.24549131095409393,9.999999747378752e-05
0.8960000276565552,0.34657394886016846,0.9440000057220459,0.24095503985881805,9.999999747378752e-05
0.8968571424484253,0.33852189779281616,0.9426666498184204,0.2376001924276352,9.999999747378752e-05
0.8939999938011169,0.3473551571369171,0.9426666498184204,0.2362426370382309,9.999999747378752e-05
0.8980000019073486,0.33816033601760864,0.9453333616256714,0.22978545725345612,9.999999747378752e-05
0.9002857208251953,0.32719525694847107,0.9480000138282776,0.22747445106506348,9.999999747378752e-05
0.9028571248054504,0.32639920711517334,0.9506666660308838,0.2243654429912567,9.999999747378752e-05
0.9091428518295288,0.3136449456214905,0.9559999704360962,0.22088317573070526,9.999999747378752e-05
0.9062857031822205,0.3156585991382599,0.9546666741371155,0.218704953789711,9.999999747378752e-05
0.9079999923706055,0.29816609621047974,0.9493333101272583,0.2184973955154419,9.999999747378752e-05
0.907714307308197,0.3032938838005066,0.9559999704360962,0.21416407823562622,9.999999747378752e-05
0.9011428356170654,0.3133413791656494,0.9559999704360962,0.21181419491767883,9.999999747378752e-05
0.9088571667671204,0.30590227246284485,0.9493333101272583,0.209778293967247,9.999999747378752e-05
0.9037142992019653,0.2984917461872101,0.9573333263397217,0.20847377181053162,9.999999747378752e-05
0.909428596496582,0.2915458679199219,0.9546666741371155,0.2046608328819275,9.999999747378752e-05
0.911142885684967,0.29285508394241333,0.9559999704360962,0.20388588309288025,9.999999747378752e-05
