Model,Test Accuracy,mAP,Training Time Minutes,Total Parameters,Epochs Completed
ResNet50,0.9546666741371155,0.9913798743274238,72.80659536123275,23608202,50
DenseNet121,0.9613333344459534,0.9881782621633448,66.45212788979212,7047754,50
MobileNetV3Small,0.8946666717529297,0.9565288537810979,9.788656091690063,944890,50
