Model,Test Accuracy,mAP,Training Time Minutes,Total Parameters,Epochs Completed
ResNet50,0.9559999704360962,0.9902044129387763,71.68356147209803,23608202,50
DenseNet121,0.9480000138282776,0.9887771358824142,69.60409632523854,7047754,50
MobileNetV3Small,0.1720000058412552,0.1206468952101986,9.542073647181192,944890,50
